id,longitude,latitude,address
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,73.889322,18.552602,"Golf Club Junction_27, Loop Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,73.911371,18.558336,"Vadgaon_Sheri_Square_44, Nagar Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.812648,18.560589,"Bremen Square_37, Ramchandra Gayakwad Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,73.805765,18.480309,"Warje_Square_21, Karve Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,73.881,18.572668,"BRTS Visharant wadi_38, Airport Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,73.801601,18.456863,"Nanded City Entry_42, Sinhagad Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,73.841424,18.517439,"Goodluck Square_Cafe_23, Gopal Krushna Gokhale Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,73.913848,18.565271,"Datta Mandir Square_66, Viman Nagar Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,73.831273,18.508766,"Nalstop_Square_7, Karve Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,73.830386,18.520432,"VS_Khandekar_Square_17, Gopal Ganesh Agarkar Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,73.952635,18.48664,"FursungiKaman_31, Saswad Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,73.878518,18.572404,"Vishrantwadi junction_6,  Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,73.878603,18.502865,"Golibar Square_11, Kondhwa Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,73.872384,18.527615,"Pune_ST_Stand_40, Sassoon Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,73.858437,18.498368,"Swargate ST Stand_13, Satara Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,73.835826,18.500009,"Sudhanshu society_36, unnamed road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,73.849475,18.532001,"Shivaji Nagar ST Stand_45, Ganeshkhind Road Pune Maharashtra"
